,CP_impl,DSP_impl,LUT_impl,BRAM_impl,FF_impl
xgb+lasso+equal_weights,0.7445608128591251,0.17657815636705518,0.11504283254208758,0.03312647676206685,0.26745472487997657
xgb,0.9747783968035231,0.20912268572328313,0.19419158644928006,0.07084449544055653,0.28416577863966314
xgb+lasso+learn_weights,0.9660948714033184,0.21794306844307046,0.18763575484500422,0.044353920152305944,0.2806373350557473
lasso,0.676390549614545,0.17849613476413628,0.12218995809250889,0.02627148222649081,0.27910511333003435
