,DSP_impl,LUT_impl,BRAM_impl,FF_impl
xgb+lasso+equal_weights,0.21523125263874937,0.3080436040209779,0.06311763830667032,0.35757785077990123
xgb,0.34792881467065584,0.33651005618203716,0.07775550976380866,0.3379882146884791
xgb+lasso+learn_weights,0.36291008885669807,0.3241871794466862,0.07428812590178566,0.3407143320961403
lasso,0.11060931510112657,0.3773711646982645,0.057279341424448085,0.4198400695850406
