,Registers_used,DSP_blocks_used,RAM_blocks_used,ALUT_used,Block_memory_bits_used
xgb,0.25694725982001515,0.19106527433110848,0.5455951060712313,0.38410489646589857,0.16665539974613544
lasso,0.3635023119192921,0.28881643990751166,0.882017868457163,0.3613361110343364,0.8309794958661886
