,Registers_used,DSP_blocks_used,RAM_blocks_used,ALUT_used,Block_memory_bits_used
xgb,0.24962066520347137,0.2707469904435151,0.31558009997128783,0.4515695327553536,0.12178134696767338
lasso,0.30532057923941747,0.3595456403810847,0.8935489132468406,0.2747086853786931,0.8319409428179408
