,DSP_impl,LUT_impl,BRAM_impl,FF_impl
xgb+lasso+equal_weights,0.9536755078875548,0.905109138021767,0.9960161637345883,0.8721380806316267
xgb,0.8789455399218724,0.8867609820883622,0.9939540807013703,0.8857639667316946
xgb+lasso+learn_weights,0.8682962674060235,0.8949026726824021,0.9944812743500004,0.883913743904281
lasso,0.9877655794128597,0.8575910040542754,0.9967190770459815,0.8237343159708282
