,DSP_impl,LUT_impl,BRAM_impl,FF_impl
xgb+lasso+equal_weights,0.15689715322283537,0.18936264839209746,0.03807186835774352,0.20969225510247794
xgb,0.22572918434644515,0.23777613317531904,0.05583777416216452,0.2064658280275443
xgb+lasso+learn_weights,0.2356855588656805,0.18975023479935246,0.05075982967278062,0.21169371466194986
lasso,0.10723089209812155,0.21129866196992175,0.036030353749546815,0.25112542229381224
